NATIONAL ADMINISTRATIVE REFERENCE  ///  LGA TO SENATORIAL DISTRICT MAPPING (2024 revision),Column 2,Column 3,Column 4,Column 5,Column 6,SUPERSEDED 2019 LIST. DO NOT USE.,Column 7
Prepared by the Office of the Surveyor General.  For planning use only.,,,,,,,
Prepared by the Office of the Surveyor General.  For planning use only.,,,,,,,
ADMINISTRATIVE UNIT,,ELECTORAL,,CODES,,,
STATE,L.G.A,SENATORIAL DISTRICT,No. of Wards,LGA Code,Remarks,,
Agbkeko State,Daibama,Agbkeko Central,5,LGA022,,,
Agbkeko State,Daibewo,,5,LGA023,,,
Agbkeko State,Hanjile,,6,LGA043,,,
Agbkeko State,YOBRIFA-WEST,,6,LGA114,Created 2016,,
Agbkeko State,Zamjidu,,5,LGA117,,,
Agbkeko State,Jostile,Agbkeko North,9,LGA059,,,
Agbkeko State,Lokshasa,,4,LGA067,Created 2016,,
Agbkeko State,Maljiwo,,4,LGA069,Created 2016,,
Agbkeko State,Ngenuta-Central Local Govt Area,,4,LGA078,Contested with adjoining district,,
Agbkeko State,Sokmiri,,4,LGA088,,,
Agbkeko State,Yeltili,,5,LGA110,,,
Agbkeko State,Enumija,Agbkeko South,5,LGA036,,,
Agbkeko State,Gwodewo,,5,LGA040,,,
Agbkeko State,Nasnadu,,6,LGA073,,,
Agbkeko State,Ngemidu,,5,LGA077,,,
Agbkeko State,ZAMMIYI,,6,LGA119,Created 2016,,
Agbzatu State,DUTZAMA,Agbzatu Central,4,LGA031,,,
Agbzatu State,Enutifa,,5,LGA037,Contested with adjoining district,,
Agbzatu State,Iromashi,,4,LGA052,,,
Agbzatu State,Irosaja,,6,LGA055,Contested with adjoining district,,
Agbzatu State,KATRINI,,4,LGA062,Renamed 2019,,
Agbzatu State,Lokmata,,5,LGA064,Created 2016,,
Agbzatu State,Supsama-South,,6,LGA090,,,
Agbzatu State,Zamkeri,,5,LGA118,,,
Agbzatu State,Agbmita,Agbzatu North,8,LGA008,,,
Agbzatu State,Gwodele-South,,8,LGA039,Boundary under review,,
Agbzatu State,Hanraja,,4,LGA044,,,
Agbzatu State,Josduri-South,,4,LGA056,,,
Agbzatu State,Malmaba,,5,LGA070,,,
Agbzatu State,Supyoshi-East,,4,LGA091,,,
Agbzatu State,Yobkosa-South,,5,LGA112,,,
Agbzatu State,Agbngoru,Agbzatu South,5,LGA009,,,
Agbzatu State,Banngono,,3,LGA017,,,
Agbzatu State,Baungoshi Local Govt Area,,3,LGA019,,,
Agbzatu State,Daishako,,5,LGA025,Contested with adjoining district,,
Agbzatu State,Ngetija,,5,LGA079,,,
